id,Source name,R.A.,Dec,Radio flux d.,Fermi flux,Log nu_peak,Redshift,Original catalog
236,3HSPJ005235.4-574636.3,00 52 35.44,-57 46 36.29,7.8,0,16.1,0.256,3HSP
237,5BZQJ0052-2825 ,00 52 52.54,-28 25 54.01,224,0,0,1.643,5BZCAT
238,4FGLJ0052.9-6644 ,00 52 52.01,-66 41 16.69,352.9,1.56e-12,0,0,Fermi 4LAC
239,3HSPJ005410.0+473611.2,00 54 10.06,+47 36 11.19,9.3,0,16.7,0.5,3HSP
240,3HSPJ005347.7-664517.8,00 53 47.74,-66 45 17.71,8.3,1.56e-12,17,0.31,3HSP
241,3HSPJ005425.4-361131.9,00 54 25.43,-36 11 31.88,26.2,0,16.2,0.31,3HSP
242,4FGLJ0054.8-1954 ,00 54 32.93,-19 53 00.99,324.1,1.72e-12,0,0,Fermi 4LAC
243,5BZBJ0054-2455 ,00 54 46.74,-24 55 28.88,24,9.24e-12,15.7,0,5BZCAT
244,3HSPJ005459.9-351917.4,00 54 59.9,-35 19 17.4,13.3,0,15.1,0.057,3HSP
245,4FGLJ0055.1-1219 ,00 55 11.77,-12 17 57.01,263.1,5.68e-12,0,0,Fermi 3LAC
246,3HSPJ005542.7+450701.4,00 55 42.7,+45 07 01.3,4.5,1.01e-12,15,0.46,3HSP
247,3HSPJ005553.5+121733.8,00 55 53.58,+12 17 33.68,27.4,0,16.1,0.29,3HSP
248,5BZGJ0056-0936 ,00 56 20.04,-09 36 30.59,199,7.98e-12,15.9,0.103,5BZCAT
249,5BZBJ0056-2117 ,00 56 32.27,-21 17 07.9,90,6.72e-12,0,0,5BZCAT
250,5BZBJ0056+1625 ,00 56 55.25,+16 25 13.51,125,2.26e-12,0,0.206,5BZCAT
251,4FGLJ0056.6-5317 ,00 56 30.93,-53 19 31.51,0,2.2e-12,0,0,Fermi 4LAC
252,4FGLJ0056.6-4452 ,00 56 45.84,-44 51 02.08,590.6,1.58e-12,0,0,Fermi 4LAC
253,5BZQJ0057-0024 ,00 57 16.98,-00 24 32.61,134,0,0,2.747,5BZCAT
