id,3HSP Source name,BZcat name,R.A.,Dec,NVSS/FIRSTflux density(mJy),X-ray flux d. @ 1keV (μJy),Log(peak flux),γ-ray counterpart,Fermi γ-ray slope,2WHSP name
679,3HSPJ082314.6-632930,,125.81079,-63.49167,16.3,0.17,-12.1,4FGL J0823.1-6330,1.8,2WHSPJ082314.5-632930
681,3HSPJ082355.6+394747,,125.98179,39.79639,3.2,0.2,-12.3,,,2WHSPJ082355.6+394747
682,3HSPJ082406.5+613619,,126.02721,61.60528,22.8,0.11,-11.9,,,2WHSPJ082406.4+613619
683,3HSPJ082427.9+624938,,126.11613,62.82722,5.7,0.06,-12.4,,,2WHSPJ082427.7+624937
684,3HSPJ082555.3+401332,,126.48033,40.22556,26.9,0.12,-12.4,,,2WHSPJ082555.2+401332
685,3HSPJ082627.9-640415,,126.61608,-64.07083,29.8,2.56,-11.1,4FGL J0826.4-6404,2.34,2WHSPJ082627.7-640414
686,3HSPJ082706.2-070845,,126.77567,-7.14583,174.1,0.9,-11.6,4FGL J0827.0-0708,2.07,2WHSPJ082706.1-070844
692,3HSPJ083010.9+523027,,127.5455,52.5075,5.4,0.09,-12.3,4FGL J0830.0+5231,1.97,2WHSPJ083010.9+523027
693,3HSPJ083015.1-094455,,127.56308,-9.74861,12.9,0.42,-11.8,,,2WHSPJ083015.1-094454
694,3HSPJ083117.4+513350,,127.82233,51.56389,5.4,0.04,-13,,,2WHSPJ083117.2+513350
699,3HSPJ083713.3-185941,,129.30546,-18.99472,38.5,0.06,-12.3,,,2WHSPJ083713.3-185940
702,3HSPJ083952.7-054547,,129.96954,-5.76306,5.3,0.12,-12.1,,,2WHSPJ083952.6-054547
703,3HSPJ083955.1+121702,,129.97963,12.28389,18.2,0.22,-12.1,,,2WHSPJ083955.0+121702
704,3HSPJ084018.9-191028,,130.07858,-19.17444,156.8,0.13,-11.6,,,2WHSPJ084018.7-191027
707,3HSPJ084310.0+503410,,130.79254,50.56944,11.2,0.1,-12.3,,,2WHSPJ084310.2+503409
708,3HSPJ084345.9-194808,,130.94121,-19.80222,8.0,0.07,-12.7,,,2WHSPJ084345.7-194807
709,3HSPJ084452.3+280410,,131.21783,28.06944,1.8,0.15,-12.3,,,2WHSPJ084452.2+280409
716,3HSPJ085242.9+430254,,133.17888,43.04833,19.6,,-12.3,,,2WHSPJ085242.8+430253
718,3HSPJ085315.9+072229,,133.31621,7.37472,6.4,0.2,-12.2,,,2WHSPJ085315.7+072228
719,3HSPJ085406.6+482324,,133.52742,48.39,8.4,0.05,-12.8?,,,2WHSPJ085406.4+482324
722,3HSPJ085440.1+162902,,133.66729,16.48389,1.9,,-12.8,,,2WHSPJ085440.0+162902
725,3HSPJ085627.2+602040,,134.11342,60.34444,16.5,0.05,-12.6?,,,2WHSPJ085627.1+602039
726,3HSPJ085659.2+513554,,134.24687,51.59833,1.5,0.03,-12.9?,,,2WHSPJ085659.2+513553
730,3HSPJ085834.3-071840,,134.643,-7.31111,4.6,0.17,-12.3,,,2WHSPJ085834.3-071839
734,3HSPJ085958.4+560239,,134.99342,56.04417,1.8,0.06,-12.5?,,,2WHSPJ085958.3+560239
735,3HSPJ085958.7+294424,,134.99438,29.74,1.4,0.05,-12.6?,,,2WHSPJ085958.6+294423
737,3HSPJ090051.1-154130,,135.21504,-15.69167,33.2,0.11,-12.2,,,2WHSPJ090051.5-154130
738,3HSPJ090132.0-043001,,135.38354,-4.50028,11.2,0.11,-12.5,,,2WHSPJ090131.9-043001
740,3HSPJ090200.2+431001,,135.50075,43.16694,19.9,0.03,-12.7,,,2WHSPJ090200.1+431000
742,3HSPJ090318.0+344339,,135.82496,34.7275,4.6,,-12.7?,,,2WHSPJ090317.8+344338
743,3HSPJ090416.8+725945,,136.07008,72.99583,14.5,0.11,-12.4?,,,2WHSPJ090416.8+725944
744,3HSPJ090523.1-053146,,136.34621,-5.52944,1.6,0.01,-12.8,,,2WHSPJ090522.9-053145
747,3HSPJ090809.1-072709,,137.03808,-7.4525,10.5,0.09,-12.5,,,2WHSPJ090809.1-072708
748,3HSPJ090812.1+603540,,137.05046,60.59444,9.1,0.04,-12.3,,,2WHSPJ090812.1+603539
749,3HSPJ090849.7+444604,,137.207,44.76778,10.7,0.08,-12.7?,,,2WHSPJ090849.6+444604
750,3HSPJ090858.7-211854,,137.24442,-21.315,10.8,0.16,-11.9,2FGL J0908.7-2119,2.37,2WHSPJ090858.6-211854
756,3HSPJ091222.9-251825,,138.09546,-25.30694,24.6,0.13,-12.1?,,,2WHSPJ091222.9-251824
758,3HSPJ091256.8+520947,,138.23683,52.16306,2.3,,-12.5?,,,2WHSPJ091256.8+520947
761,3HSPJ091326.8+782923,,138.3615,78.48972,9.8,0.04,-12.7,,,2WHSPJ091326.7+782922
762,3HSPJ091408.3-015945,,138.53442,-1.99583,10.4,0.09,-12.4,4FGL J0914.1-0202,2.47,2WHSPJ091408.2-015944
764,3HSPJ091522.5-203625,,138.84388,-20.60694,17.7,0.06,-12.3,,,2WHSPJ091522.4-203624
768,3HSPJ091714.1-034314,,139.31087,-3.72056,32.2,0.35,-12,4FGL J0917.3-0342,1.76,2WHSPJ091714.5-034314
770,3HSPJ091926.2-220042,,139.85929,-22.01167,6.7,0.11,-12.4,3FGL J0919.5-2200,2.2,2WHSPJ091926.2-220042
772,3HSPJ092057.5-225721,,140.23946,-22.95583,14.4,0.92,-11.7,4FGL J0920.9-2256,1.55,2WHSPJ092057.4-225720
773,3HSPJ092113.1+684902,,140.30442,68.81722,25.4,0.03,-12.5,,,2WHSPJ092113.0+684901
774,3HSPJ092252.0+755403,,140.71671,75.90083,7.9,0.12,-12.4,,,2WHSPJ092252.0+755402
775,3HSPJ092339.1+052649,,140.91283,5.44694,18.4,0.12,-12.2?,,,2WHSPJ092339.0+052648
779,3HSPJ092702.3+513733,,141.75979,51.62583,1.7,0.05,-12.8,,,2WHSPJ092702.2+513732
780,3HSPJ092818.5+042109,,142.07692,4.3525,6.8,0.16,-12.4,,,2WHSPJ092818.4+042109
782,3HSPJ093004.0+494331,,142.51671,49.72528,3.2,0.07,-12.8,,1.45,2WHSPJ093004.0+494331
786,3HSPJ093303.0+045235,,143.26417,4.87639,3.6,0.14,-12.4,,,2WHSPJ093303.4+045235
787,3HSPJ093322.0+213211,,143.34162,21.53639,1.2,,-12.8,,,2WHSPJ093321.9+213211
792,3HSPJ093848.6+441644,,144.70246,44.27889,42.9,0.04,-12.9?,,,2WHSPJ093848.4+441644
793,3HSPJ093904.1+491622,,144.76879,49.27278,13.9,,-12.6,,,2WHSPJ093904.5+491622
794,3HSPJ093938.5-031503,,144.91046,-3.25083,2.2,,-12.2,,,2WHSPJ093938.5-031502
797,3HSPJ094309.5+135132,,145.7895,13.85889,12.1,0.06,-12.8?,,,2WHSPJ094309.4+135132
798,3HSPJ094340.7+444215,,145.91975,44.70417,35.5,,-12.6,,,2WHSPJ094340.6+444215
801,3HSPJ094502.0-044833,,146.25846,-4.80917,28.8,0.1,-12.6,,,2WHSPJ094501.9-044833
802,3HSPJ094537.1-301333,,146.40463,-30.22583,5.9,0.13,-12.4,,,2WHSPJ094537.0-301332
803,3HSPJ094606.1+215138,,146.52554,21.86056,5.4,0.08,-12.7,,,2WHSPJ094606.1+215138
805,3HSPJ094630.7+105203,,146.62775,10.8675,11.8,0.29,-12.1,FL8Y J0946.5+1051,,2WHSPJ094630.6+105202
806,3HSPJ094709.5-254100,,146.78967,-25.68333,42.0,0.45,-11.4,4FGL J0947.1-2541,1.95,2WHSPJ094709.4-254059
807,3HSPJ094934.0+480826,,147.39146,48.14056,28.8,,-13.1,,,2WHSPJ094933.9+480826
808,3HSPJ095040.9+383044,,147.67046,38.51222,7.9,0.08,-12.7?,,,2WHSPJ095040.9+383043
810,3HSPJ095202.3-171443,,148.00938,-17.24528,4.8,0.09,-12.6,,,2WHSPJ095202.2-171443
815,3HSPJ095304.3-765802,,148.26812,-76.96722,23.9,0.24,-11.7,4FGL J0953.4-7659,1.91,2WHSPJ095304.3-765801
819,3HSPJ095518.5-294612,,148.82692,-29.77,10.2,0.16,-12,,,2WHSPJ095518.4-294611
820,3HSPJ095549.7+101429,,148.95692,10.24139,2.4,0.03,-12.7,,,2WHSPJ095549.6+101429
821,3HSPJ095622.6-095514,,149.09425,-9.92056,14.4,,-12.2,,1.81,2WHSPJ095622.6-095514
822,3HSPJ095628.0-095719,,149.11754,-9.95528,94.7,0.51,-11.8,4FGL J0956.5-0958,1.68,2WHSPJ095628.2-095719
824,3HSPJ095800.6+473734,,149.50246,47.62611,4.7,,-12.8,2FGL J0957.7+4735,2.54,2WHSPJ095800.4+473733
