id,3HSP Source name,BZcat name,R.A.,Dec,NVSS/FIRSTflux density(mJy),X-ray flux d. @ 1keV (μJy),Log(peak flux),γ-ray counterpart,Fermi γ-ray slope,2WHSP name
1,3HSPJ000116.4+293534,,0.31821,29.59278,4.0,,-12.9?,,,2WHSPJ000116.3+293534
2,3HSPJ000117.1-315043,,0.32117,-31.84528,7.2,0.23,-12.3?,,,2WHSPJ000116.9-315043
3,3HSPJ000132.7-415525,,0.38642,-41.92361,13.2,0.34,-11.7,4FGL J0001.6-4156,2.09,2WHSPJ000132.6-415524
4,3HSPJ000158.1-115047,,0.49225,-11.84639,3.3,0.11,-12.5,,,2WHSPJ000158.0-115047
5,3HSPJ000215.2-672653,,0.56329,-67.44806,21.4,0.27,-11.8,4FGL J0002.1-6728,1.95,2WHSPJ000215.1-672653
6,3HSPJ000236.1-081532,,0.65025,-8.25889,29.0,0.19,-12.3,,,2WHSPJ000236.0-081532
7,3HSPJ000319.6-524727,,0.8315,-52.79083,65.3,0.64,-11.9,4FGL J0003.1-5248,1.9,2WHSPJ000319.5-524726
8,3HSPJ000513.7-261438,,1.30717,-26.24389,37.4,,-12.6,,,2WHSPJ000513.6-261438
9,3HSPJ000553.0-284503,,1.47079,-28.75083,5.0,0.07,-12.5,,,2WHSPJ000552.9-284502
10,3HSPJ000626.9+013610,,1.61208,1.60278,7.5,0.12,-12.6,4FGL J0006.4+0135,2.19,2WHSPJ000626.8+013610
11,3HSPJ000701.6+510500,,1.75663,51.08333,4.4,0.15,-12.4,,,2WHSPJ000701.5+510459
14,3HSPJ000949.7-431650,,2.45729,-43.28056,51.0,0.31,-12,4FGL J0009.8-4317,2.1,2WHSPJ000949.6-431650
15,3HSPJ000957.2+134058,,2.48842,13.68278,18.6,0.29,-12.1,,,2WHSPJ000957.1+134058
16,3HSPJ001011.1+334851,,2.54875,33.81417,17.1,0.22,-11.9,,,2WHSPJ001011.7+334851
17,3HSPJ001042.7-130817,,2.67779,-13.13806,2.7,0.06,-12.6,,,2WHSPJ001042.6-130817
18,3HSPJ001253.9-162656,,3.22442,-16.44889,10.1,0.08,-12.3,,,2WHSPJ001253.8-162656
19,3HSPJ001328.1+094930,,3.37,9.825,31.1,0.7,-11.8,1BIGB_J001328.8+094929,2.35,2WHSPJ001328.8+094929
22,3HSPJ001442.1+162126,,3.67533,16.35722,5.7,0.1,-12.8?,,,2WHSPJ001441.9+162125
26,3HSPJ001541.9+121845,,3.92442,12.3125,6.8,0.14,-12.4,,,2WHSPJ001541.8+121845
28,3HSPJ001916.0+053148,,4.81754,5.53,4.0,0.06,-12.9?,,,2WHSPJ001916.1+053148
31,3HSPJ002209.6-670510,,5.53983,-67.08611,,0.12,-12.3?,,,2WHSPJ002209.4-670509
32,3HSPJ002255.0-341347,,5.729,-34.22972,12.2,0.02,-12.5,,,2WHSPJ002254.8-341346
33,3HSPJ002259.0-244022,,5.74596,-24.67278,27.4,,-12.1,,,2WHSPJ002258.9-244022
36,3HSPJ002928.1+205333,,7.36917,20.8925,11.4,,-12.3,4FGL J0029.4+2051,1.46,2WHSPJ002928.6+205332
37,3HSPJ003020.4-164713,,7.58508,-16.78694,9.5,0.13,-11.7,4FGL J0030.2-1647,1.65,2WHSPJ003020.4-164712
39,3HSPJ003120.5-233401,,7.83558,-23.56694,2.8,0.23,-12.1,4FGL J0031.0-2327,2.19,2WHSPJ003120.5-233400
40,3HSPJ003120.8+051333,,7.83663,5.22583,9.1,,-12.1,,,2WHSPJ003120.6+051332
41,3HSPJ003222.6-472536,,8.09404,-47.42667,13.2,0.14,-12.2,,,2WHSPJ003222.5-472536
42,3HSPJ003322.5-203908,,8.34362,-20.65222,8.7,0.77,-11.9,,,2WHSPJ003322.3-203907
43,3HSPJ003333.2+502956,,8.38854,50.49889,16.5,0.52,-12.4,,,2WHSPJ003333.1+502956
45,3HSPJ003358.8+390631,,8.49508,39.10861,5.7,0.18,-12.5,4FGL J0033.9+3858,2.53,2WHSPJ003358.7+390630
47,3HSPJ003532.9-131714,,8.88708,-13.28722,10.6,0.06,-12.2,,,2WHSPJ003532.8-131713
48,3HSPJ003539.6-181651,,8.91508,-18.28083,40.9,0.15,-11.9,,,2WHSPJ003539.5-181650
50,3HSPJ003631.7-031326,,9.13204,-3.22389,20.2,0.19,-12.4?,,,2WHSPJ003631.6-031326
51,3HSPJ003736.2-230225,,9.401,-23.04028,18.1,0.19,-12.5?,,,2WHSPJ003736.1-230225
52,3HSPJ003908.2-222001,,9.78421,-22.33361,117.2,1.09,-11.9,4FGL J0039.1-2219,1.72,2WHSPJ003908.2-222000
54,3HSPJ004040.9-232200,,10.17029,-23.36667,18.7,,-12,,,2WHSPJ004040.7-232200
57,3HSPJ004143.2+083318,,10.43017,8.555,5.1,0.09,-12.4,,,2WHSPJ004143.1+083317
58,3HSPJ004147.0-470136,,10.44592,-47.02667,16.6,0.5,>-11.8,1BIGB_J004146.9-470136,1.73,2WHSPJ004146.9-470136
59,3HSPJ004202.4-143600,,10.50992,-14.6,17.6,0.06,-12.6,,,2WHSPJ004202.2-143559
61,3HSPJ004322.1+180846,,10.845,18.14611,20.2,0.18,-12.4,,,2WHSPJ004322.8+180845
62,3HSPJ004332.5+754518,,10.88558,75.755,3.0,0.08,-12.2,,,2WHSPJ004332.5+754517
63,3HSPJ004334.1-044300,,10.89217,-4.71667,29.8,0.47,-11.8,4FGL J0043.5-0442,1.73,2WHSPJ004334.0-044300
64,3HSPJ004348.7-111607,,10.95271,-11.26861,24.9,0.16,-11.6,4FGL J0043.7-1116,1.59,2WHSPJ004348.6-111606
65,3HSPJ004501.6+051215,,11.25658,5.20417,9.0,0.17,-12.5,,,2WHSPJ004501.4+051215
67,3HSPJ004554.8-172328,,11.47821,-17.39111,3.8,0.23,-12.1,,,2WHSPJ004554.7-172327
68,3HSPJ004603.3+401346,,11.51362,40.22944,15.0,0.02,-12.9,,,2WHSPJ004603.1+401345
69,3HSPJ004715.0-811135,,11.81292,-81.19306,9.4,0.13,-12.4,,,2WHSPJ004715.1-811135
72,3HSPJ004859.2+422351,,12.24646,42.3975,4.3,,-12.1,4FGL J0049.1+4223,1.77,2WHSPJ004859.0+422351
73,3HSPJ004927.8+395003,,12.366,39.83417,53.4,,-12.4,,,2WHSPJ004927.7+395003
74,3HSPJ004929.9-241844,,12.37471,-24.31222,10.0,0.12,-12.4,,,2WHSPJ004929.8-241843
75,3HSPJ004938.9-415137,,12.41204,-41.86028,58.7,0.19,-12,4FGL J0049.5-4150,2.15,2WHSPJ004938.8-415137
76,3HSPJ005015.5-461811,,12.56454,-46.30306,29.9,0.06,-12.5,,,2WHSPJ005015.4-461811
77,3HSPJ005040.9-254123,,12.67058,-25.68972,57.2,0.14,-12.2,,,2WHSPJ005040.9-254122
78,3HSPJ005048.5-342850,,12.70229,-34.48056,6.3,0.07,-12.5,,,2WHSPJ005048.4-342850
80,3HSPJ005235.4-574636,,13.14767,-57.77667,7.8,0.14,-12.2,,,2WHSPJ005235.4-574636
82,3HSPJ005410.1+473611,,13.54192,47.60306,9.3,0.88,-12.3,,,2WHSPJ005410.0+473611
83,3HSPJ005425.4-361131,,13.60596,-36.19194,26.2,0.05,-12.5,,,2WHSPJ005425.3-361130
87,3HSPJ005553.6+121733,,13.97325,12.2925,27.4,0.15,-12.4,,,2WHSPJ005553.5+121733
91,3HSPJ005813.8-142929,,14.55746,-14.49139,9.4,0.15,-12.4,,,2WHSPJ005813.6-142929
95,3HSPJ010010.7-023451,,15.04467,-2.58083,11.6,0.14,-12.2,,,2WHSPJ010010.6-023450
96,3HSPJ010116.3+273058,,15.31779,27.51611,4.6,0.08,-12.7,,,2WHSPJ010116.2+273057
98,3HSPJ010250.9-200158,,15.71225,-20.03278,64.9,0.41,-12.2,4FGL J0102.7-2001,1.55,2WHSPJ010250.8-200158
101,3HSPJ010353.2+351322,,15.97175,35.22278,4.1,0.17,-12.4,,,2WHSPJ010353.2+351322
102,3HSPJ010501.9+503320,,16.25779,50.55556,11.9,0.48,-12.1,,,2WHSPJ010501.8+503320
103,3HSPJ010528.1-171222,,16.36717,-17.20611,7.0,0.21,-12.4,,,2WHSPJ010528.0-171221
104,3HSPJ010547.2+393922,,16.44662,39.65611,4.9,0.28,-12.3,2FGL J0105.3+3930,2.21,2WHSPJ010547.0+393921
105,3HSPJ010956.6-402050,,17.48571,-40.34722,96.0,0.4,-11.9,4FGL J0110.0-4019,1.73,2WHSPJ010956.5-402049
107,3HSPJ011009.7+042420,,17.54054,4.40556,62.1,0.12,-12.7?,,,2WHSPJ011009.7+042420
110,3HSPJ011231.4-750617,,18.13083,-75.10472,18.4,,-12.2,4FGL J0112.8-7506,2.17,2WHSPJ011231.3-750616
112,3HSPJ011314.3-190807,,18.30967,-19.13528,23.4,0.03,-12.5,,,2WHSPJ011314.2-190807
114,3HSPJ011533.4-030333,,18.889,-3.05917,5.4,,-12.8?,,,2WHSPJ011533.3-030333
116,3HSPJ011555.5-274431,,18.98108,-27.74194,17.3,0.61,-11.9,4FGL J0116.0-2745,2.02,2WHSPJ011555.3-274430
117,3HSPJ011637.1-281146,,19.15442,-28.19611,54.1,0.26,-12.2,4FGL J0116.5-2812,2.29,2WHSPJ011637.0-281145
118,3HSPJ011724.4-222759,,19.35158,-22.46639,4.8,0.23,-12.3?,,,2WHSPJ011724.2-222759
120,3HSPJ011823.3+324325,,19.59696,32.72361,21.0,,-12,,,2WHSPJ011823.2+324324
121,3HSPJ011828.7-511527,,19.61975,-51.2575,,0.22,-12.3,,,2WHSPJ011828.6-511527
122,3HSPJ011831.0-142957,,19.63087,-14.49917,29.6,0.28,-11.9,,,2WHSPJ011831.3-142957
123,3HSPJ011904.6-145858,,19.76921,-14.98278,5.5,0.63,-11.7,4FGL J0119.0-1458,1.79,2WHSPJ011904.6-145858
124,3HSPJ012048.0+212853,,20.20129,21.48139,10.4,0.08,-12.5,,,2WHSPJ012048.3+212853
131,3HSPJ012443.7-314342,,21.18217,-31.72833,13.5,0.22,-12.2,,,2WHSPJ012443.6-314341
132,3HSPJ012523.1-292047,,21.34792,-29.34639,5.4,0.05,-12.5,,,2WHSPJ012523.5-292047
133,3HSPJ012629.6-350505,,21.62317,-35.08472,5.7,,-12.5?,,,2WHSPJ012629.5-350504
134,3HSPJ012652.2+003308,,21.71737,0.55222,1.1,,-12.6,,,2WHSPJ012652.0+003307
136,3HSPJ012713.9+032300,,21.80808,3.38333,16.1,0.56,-11.8,4FGL J0127.2+0324,1.9,2WHSPJ012713.9+032259
137,3HSPJ012722.1+211442,,21.84213,21.245,10.0,0.12,-12.6,,,2WHSPJ012722.0+211442
139,3HSPJ012917.9-034402,,22.32467,-3.73389,4.1,0.34,-12.4,,,2WHSPJ012917.8-034402
144,3HSPJ013309.3-453524,,23.28867,-45.59,16.1,0.09,-12.3,4FGL J0133.2-4533,1.58,2WHSPJ013309.4-453524
145,3HSPJ013312.1-351916,,23.30054,-35.32111,11.1,0.18,-12.4?,,,2WHSPJ013312.1-351915
147,3HSPJ013507.0+025542,,23.77933,2.92833,22.0,0.3,-12.5,4FGL J0135.1+0255,1.68,2WHSPJ013507.0+025541
148,3HSPJ013523.6-272813,,23.84842,-27.47028,8.4,0.33,-12.1,,,2WHSPJ013523.5-272813
149,3HSPJ013548.7-201347,,23.95304,-20.22972,2.6,0.21,-11.9,,,2WHSPJ013548.7-201346
150,3HSPJ013626.7+302011,,24.11121,30.33639,3.6,,-12.8,,,2WHSPJ013626.5+302011
154,3HSPJ013803.7-215530,,24.51554,-21.925,17.7,0.43,>-12,,,2WHSPJ013803.7-215530
155,3HSPJ013834.5+245837,,24.64392,24.97694,12.0,0.1,-12.5,,,2WHSPJ013834.5+245836
157,3HSPJ014347.2-012609,,25.94646,-1.43583,10.2,0.16,-12.7?,,,2WHSPJ014347.0-012608
159,3HSPJ014357.1-651227,,25.99125,-65.2075,18.0,0.08,-12.5,,,2WHSPJ014357.9-651226
160,3HSPJ014522.9+045129,,26.34537,4.85806,7.7,0.05,-12.9,,,2WHSPJ014522.7+045129
161,3HSPJ014557.7-282620,,26.49021,-28.43889,3.9,,-12.6,,,2WHSPJ014557.5-282620
162,3HSPJ014558.0+213504,,26.49167,21.58444,5.8,0.46,-12.1?,,,2WHSPJ014558.0+213503
163,3HSPJ014620.0-024254,,26.58417,-2.715,4.2,0.15,-12.7?,,,2WHSPJ014620.2-024253
165,3HSPJ014715.9-000818,,26.81608,-0.13833,5.0,,-12.7,,,2WHSPJ014715.7-000817
166,3HSPJ014748.1+203715,,26.95292,20.62083,15.2,0.16,-12.6?,,,2WHSPJ014748.7+203714
167,3HSPJ014753.7-602811,,26.97358,-60.46972,8.9,,-12.3,,,2WHSPJ014753.5-602810
170,3HSPJ014918.2+203029,,27.32604,20.50806,42.7,,>-12.1,,,2WHSPJ014918.1+203029
171,3HSPJ015044.1-545005,,27.68542,-54.83472,43.8,,-12.1,4FGL J0150.6-5448,2.12,2WHSPJ015044.5-545004
172,3HSPJ015219.9+364017,,28.08275,36.67139,18.1,,-12.5,,,2WHSPJ015219.7+364017
175,3HSPJ015313.2-110627,,28.30488,-11.1075,7.7,0.27,-12.2?,,,2WHSPJ015313.0-110626
178,3HSPJ015553.6+053309,,28.97354,5.5525,3.8,,-13.1,,,2WHSPJ015553.5+053309
179,3HSPJ015608.0+054510,,29.03417,5.75278,5.5,,-13,,,2WHSPJ015608.2+054510
181,3HSPJ015646.0-474417,,29.19171,-47.73806,28.7,0.12,-11.8,4FGL J0156.8-4744,2.01,2WHSPJ015646.0-474417
183,3HSPJ015700.7-323529,,29.25283,-32.59139,19.1,0.17,-12.2,,,2WHSPJ015700.6-323529
184,3HSPJ015721.6-215852,,29.33983,-21.98111,11.9,0.34,-12.2,,,2WHSPJ015721.4-215851
185,3HSPJ015743.1+003605,,29.43292,0.60139,1.8,,-13?,,,2WHSPJ015743.9+003605
186,3HSPJ015809.9+251540,,29.54142,25.26111,11.5,0.26,-12.2,,,2WHSPJ015809.9+251539
189,3HSPJ015953.6+004815,,29.97329,0.80417,4.8,,-12.8,,,2WHSPJ015953.5+004815
190,3HSPJ015958.1-364313,,29.99225,-36.72028,4.6,0.04,-12.8,,,2WHSPJ015958.0-364313
193,3HSPJ020110.9-434655,,30.2955,-43.78194,45.3,,-12.4,4FGL J0201.1-4347,1.65,2WHSPJ020110.9-434654
194,3HSPJ020121.8-225925,,30.34075,-22.99028,13.2,0.27,-12.2,,,2WHSPJ020121.7-225925
196,3HSPJ020239.1-313338,,30.66542,-31.56056,,,-12.8,,,2WHSPJ020239.7-313338
197,3HSPJ020252.2-022320,,30.71758,-2.38889,68.1,0.56,-12.1,4FGL J0202.9-0225,2.31,2WHSPJ020252.2-022320
198,3HSPJ020314.1-323512,,30.80867,-32.58667,12.6,0.06,-12.4,,,2WHSPJ020313.9-323512
199,3HSPJ020356.1-244454,,30.98358,-24.74833,11.3,0.13,-12.5,,,2WHSPJ020355.9-244453
203,3HSPJ020430.1-213725,,31.12538,-21.62361,8.5,0.05,-12.6,,,2WHSPJ020430.0-213724
210,3HSPJ021205.7-255758,,33.02392,-25.96611,8.9,0.54,-12.1,4FGL J0.212.2-2559,1.93,2WHSPJ021205.6-255757
211,3HSPJ021216.9-022155,,33.07033,-2.36528,25.3,2.29,-11.7,4FGL J0212.2-0219,1.94,2WHSPJ021216.8-022155
215,3HSPJ021409.8-473235,,33.54092,-47.54306,,0.1,-12.3,,,2WHSPJ021409.7-473235
216,3HSPJ021411.1-353733,,33.54962,-35.62583,19.3,0.24,-12.1,,,2WHSPJ021411.7-353732
218,3HSPJ021503.0+032536,,33.76246,3.42667,4.5,0.48,-12.1?,,,2WHSPJ021502.8+032536
219,3HSPJ021515.2-161738,,33.8135,-16.29389,47.9,0.26,-12.1,,,2WHSPJ021515.1-161738
221,3HSPJ021552.3-402343,,33.968,-40.39528,40.1,0.15,-12.3,,,2WHSPJ021552.3-402343
222,3HSPJ021616.6-481626,,34.06925,-48.27389,39.6,0.21,-12,,,2WHSPJ021616.6-481626
225,3HSPJ021729.3-642306,,34.37225,-64.385,17.4,0.02,-12.9,,,2WHSPJ021729.2-642306
228,3HSPJ021915.5-493453,,34.81446,-49.58139,11.3,0.05,-12.3,,,2WHSPJ021915.4-493453
229,3HSPJ021931.2-642151,,34.88012,-64.36417,6.2,0.02,-12.9,,,2WHSPJ021931.2-642151
230,3HSPJ022006.4-391835,,35.02654,-39.30972,3.8,0.02,-12.8,,,2WHSPJ022006.2-391834
232,3HSPJ022105.0+063939,,35.27075,6.66083,62.9,,-12.3,,,2WHSPJ022104.9+063938
233,3HSPJ022211.4-213735,,35.54763,-21.62639,7.9,0.05,-12.6,,,2WHSPJ022211.3-213735
236,3HSPJ022539.1-190035,,36.41542,-19.00972,5.0,0.05,-12.9,,,2WHSPJ022539.7-190034
237,3HSPJ022540.8-561812,,36.41992,-56.30333,13.2,0.08,-12.2,,,2WHSPJ022540.6-561811
239,3HSPJ022657.3+082730,,36.73858,8.45833,33.7,0.19,-12.4,,,2WHSPJ022657.1+082729
241,3HSPJ022855.8-292716,,37.23258,-29.45444,5.8,,-12.7,,,2WHSPJ022855.7-292715
242,3HSPJ022941.2-412051,,37.42158,-41.3475,17.4,0.05,-12.1,,,2WHSPJ022941.1-412050
243,3HSPJ022948.0-512351,,37.45087,-51.3975,11.1,0.05,-12.5,,,2WHSPJ022948.1-512351
244,3HSPJ023006.0+194921,,37.52483,19.8225,29.0,,-12.3,,,2WHSPJ023005.8+194921
245,3HSPJ023109.3-575506,,37.78863,-57.91833,254.4,,-12,4FGL J0231.2-5754,1.68,2WHSPJ023109.1-575505
246,3HSPJ023231.1-251606,,38.12975,-25.26833,4.0,0.05,-12.8,,,2WHSPJ023231.0-251605
247,3HSPJ023237.5+313128,,38.15642,31.52444,4.3,0.53,-12.2,,,2WHSPJ023237.5+313127
250,3HSPJ023341.0+065611,,38.42079,6.93639,34.5,0.22,-11.9,1BIGB_J023340.9+065611,2.05,2WHSPJ023340.9+065611
252,3HSPJ023430.1+804337,,38.62754,80.72694,3.6,0.2,-11.9,1BIGB_J023430.5+804336,1.65,2WHSPJ023430.5+804336
254,3HSPJ023605.6-215543,,39.02317,-21.92861,9.2,0.04,-12.7,,,2WHSPJ023605.5-215542
256,3HSPJ023800.6-390504,,39.50262,-39.08444,65.3,0.11,-12,3FGL J0238.3-3904,1.94,2WHSPJ023800.5-390503
262,3HSPJ024115.5-304140,,40.31454,-30.69444,14.3,0.25,-11.9,,,2WHSPJ024115.4-304139
264,3HSPJ024151.4-160333,,40.46404,-16.05917,22.7,0.18,-12.1,4FGL J0241.9-1603,1.88,2WHSPJ024151.2-160333
267,3HSPJ024507.9+184308,,41.28271,18.71889,3.4,,>-12.1,,,2WHSPJ024507.7+184308
269,3HSPJ024743.3-481545,,41.93062,-48.2625,24.5,0.07,-12.3,,,2WHSPJ024743.3-481545
270,3HSPJ024751.7-225002,,41.96525,-22.83389,3.3,0.21,-12.2,,,2WHSPJ024751.6-225002
271,3HSPJ024752.1+004106,,41.96717,0.685,5.4,,-12.1?,,,2WHSPJ024752.0+004106
274,3HSPJ025024.6+454200,,42.60233,45.7,4.2,0.33,-12.3,,,2WHSPJ025024.4+454200
277,3HSPJ025056.8-324313,,42.73683,-32.72028,11.2,0.11,-11.8,,,2WHSPJ025056.8-324313
278,3HSPJ025057.0-122613,,42.73837,-12.43694,13.8,,-12.3,,,2WHSPJ025057.1-122612
280,3HSPJ025211.1+320432,,43.04792,32.07556,6.6,0.68,-11.8,,,2WHSPJ025211.5+320432
281,3HSPJ025347.2-103135,,43.4465,-10.52639,12.8,0.13,-12.4,,,2WHSPJ025347.0-103135
282,3HSPJ025426.4+160202,,43.60988,16.03389,5.4,0.1,-12.4,,,2WHSPJ025426.2+160202
283,3HSPJ025434.3-454326,,43.64304,-45.72389,16.8,0.05,-12.5,,,2WHSPJ025434.3-454326
284,3HSPJ025448.2-125801,,43.70071,-12.96694,7.7,,-11.9,,,2WHSPJ025448.1-125800
285,3HSPJ025707.9+335730,,44.28279,33.95833,33.0,0.81,-12,4FGL J0257.0+3358,2.1,2WHSPJ025707.7+335729
286,3HSPJ025756.0-271212,,44.48375,-27.20333,7.9,0.06,-12.9,,,2WHSPJ025756.1-271211
289,3HSPJ030036.9-361743,,45.15388,-36.29528,12.2,0.15,-12.4,,,2WHSPJ030036.9-361743
291,3HSPJ030208.9+004626,,45.53721,0.77389,2.6,0.2,-12.3,,,2WHSPJ030208.8+004626
292,3HSPJ030246.3-192425,,45.69304,-19.40694,3.0,0.18,-11.6,,,2WHSPJ030246.3-192424
293,3HSPJ030313.8-705027,,45.80746,-70.84083,37.0,,-12.3,,,2WHSPJ030313.6-705026
299,3HSPJ030544.2+403510,,46.43396,40.58611,10.6,,-12,1BIGB_J030544.1+403509,1.84,2WHSPJ030544.1+403509
300,3HSPJ030718.6-205158,,46.82767,-20.86611,7.5,,-12.6,,,2WHSPJ030718.6-205157
302,3HSPJ030926.0-395927,,47.35854,-39.99083,17.5,0.18,-12.3,4FGL J0309.4-4000,1.88,2WHSPJ030925.9-395926
303,3HSPJ031034.7-501631,,47.64458,-50.27528,12.6,0.03,-11.7,3FGL J0310.4-5015,1.75,2WHSPJ031034.6-501631
304,3HSPJ031103.3-440228,,47.76358,-44.04111,19.6,0.79,-11.7,1BIGB_J031103.1-440227,2.02,2WHSPJ031103.1-440227
305,3HSPJ031205.4+312116,,48.02237,31.35444,4.7,0.35,-12.3,,,2WHSPJ031205.2+312115
307,3HSPJ031235.7-222117,,48.14875,-22.35472,31.7,,-12.1,3FGL J0312.7-2222,1.62,2WHSPJ031235.6-222116
309,3HSPJ031311.5+244533,,48.298,24.75917,9.9,0.33,-12.1,,,2WHSPJ031311.5+244533
310,3HSPJ031421.9-095453,,48.59138,-9.91472,62.9,,-12.2?,,,2WHSPJ031421.8-095452
312,3HSPJ031432.7-090446,,48.63617,-9.07944,14.3,0.21,-12.2,,,2WHSPJ031432.5-090445
317,3HSPJ031615.2-224724,,49.06321,-22.79,6.3,,-12.5,,,2WHSPJ031615.1-224723
319,3HSPJ031746.1+201106,,49.44417,20.185,25.8,0.27,-12.2,,,2WHSPJ031746.6+201105
320,3HSPJ031749.7+010514,,49.45725,1.08722,2.1,,-12.8?,,,2WHSPJ031749.6+010513
321,3HSPJ031855.1+190816,,49.73129,19.13778,5.0,0.28,-12.3,,,2WHSPJ031855.5+190816
324,3HSPJ032009.2-704533,,50.03838,-70.75917,15.0,,>-12,1BIGB_J032009.1-704533,1.75,2WHSPJ032009.1-704533
325,3HSPJ032038.0+112452,,50.15846,11.41444,12.1,0.3,-12.3,1BIGB_J032037.9+112451,2.17,2WHSPJ032037.9+112451
326,3HSPJ032056.4+042448,,50.23492,4.41333,2.8,0.78,-11.7,1BIGB_J032056.2+042447,2.68,2WHSPJ032056.2+042447
327,3HSPJ032102.2-040851,,50.25921,-4.1475,12.7,0.25,-12.1,,,2WHSPJ032102.2-040850
328,3HSPJ032127.4-531056,,50.36412,-53.18222,12.4,,-12.4,,,2WHSPJ032127.3-531055
330,3HSPJ032228.3-504539,,50.61796,-50.76083,16.0,0.05,-12.8,,,2WHSPJ032228.3-504538
334,3HSPJ032523.5-563544,,51.34804,-56.59556,73.3,0.68,-11.8,3FGL J0325.2-5634,2.22,2WHSPJ032523.5-563544
337,3HSPJ032647.3-340447,,51.69729,-34.07972,8.0,0.14,-12,1BIGB_J032647.2-340446,1.99,2WHSPJ032647.2-340446
338,3HSPJ032852.7-571605,,52.21954,-57.26806,,0.65,-11.9,1BIGB_J032852.6-571605,1.6,2WHSPJ032852.6-571605
340,3HSPJ033118.5-615528,,52.827,-61.92444,381.8,0.17,-11.8,3FGL J0331.3-6155,2.08,2WHSPJ033118.4-615527
341,3HSPJ033202.3-703948,,53.00979,-70.66333,21.4,,-12.2,,,2WHSPJ033202.2-703947
348,3HSPJ033612.8-213128,,54.05354,-21.52444,36.0,0.25,-12.3,,,2WHSPJ033612.7-213127
351,3HSPJ033829.3+130215,,54.62196,13.0375,15.7,0.15,-11.5,3FGL J0338.5+1303,1.69,2WHSPJ033829.2+130214
352,3HSPJ033832.0-570448,,54.63342,-57.08,15.4,0.52,-12.1,1BIGB_J033831.9-570447,1.63,2WHSPJ033831.9-570447
353,3HSPJ033851.1-532425,,54.71629,-53.40694,10.4,0.08,-12.5,,,2WHSPJ033851.9-532424
356,3HSPJ034054.7+782258,,55.22804,78.38278,35.1,0.05,-12.2,,,2WHSPJ034054.7+782258
357,3HSPJ034254.2-370737,,55.72575,-37.12694,35.9,0.94,-11.8,,,2WHSPJ034254.1-370736
358,3HSPJ034323.1-761448,,55.84792,-76.24667,19.7,0.06,-12.2,,,2WHSPJ034323.5-761448
359,3HSPJ034402.4+730114,,56.01013,73.02056,73.7,0.22,-11.9,,,2WHSPJ034402.3+730114
361,3HSPJ034427.3-523557,,56.11392,-52.59917,22.2,0.03,-12.2,,,2WHSPJ034427.2-523557
362,3HSPJ034609.4-420505,,56.53929,-42.08472,13.0,0.19,-12.4?,,,2WHSPJ034609.4-420504
363,3HSPJ034656.9-133830,,56.73725,-13.64167,14.3,0.13,-11.8,,,2WHSPJ034656.8-133830
368,3HSPJ035051.3-281632,,57.71383,-28.27556,3.2,0.17,-12.1,3FGL J0351.0-2816,2.04,2WHSPJ035051.2-281632
370,3HSPJ035257.5-683117,,58.23946,-68.52139,409.4,2.78,-11,3FGL J0353.0-6831,1.61,2WHSPJ035257.4-683117
372,3HSPJ035308.5+825631,,58.28525,82.94194,22.8,0.23,-11.8,4FGL J0353.7+8257,1.63,2WHSPJ035308.3+825630
375,3HSPJ035532.7-485134,,58.88642,-48.85944,25.5,0.04,-12.8,,,2WHSPJ035532.6-485133
379,3HSPJ035807.3-545139,,59.53029,-54.86083,30.3,0.04,-12.3,,,2WHSPJ035807.1-545138
383,3HSPJ040126.3-080159,,60.35967,-8.03306,11.7,0.15,-12.3,,,2WHSPJ040126.2-080159
387,3HSPJ040905.0-053235,,62.27092,-5.54306,5.1,0.16,-12.6,,,2WHSPJ040904.9-053235
390,3HSPJ041238.5-392629,,63.16021,-39.44139,7.6,0.22,-12.2,1BIGB_J041238.3-392629,1.93,2WHSPJ041238.3-392629
391,3HSPJ041422.6-035017,,63.59425,-3.83806,33.3,0.13,-12.7,,,2WHSPJ041422.6-035017
392,3HSPJ041458.1-533943,,63.74217,-53.66194,31.4,0.57,-11.5,2FGL J0413.5-5332,2.41,2WHSPJ041458.0-533942
393,3HSPJ041645.3-552529,,64.18863,-55.42472,39.3,0.04,-12.9?,,,2WHSPJ041645.1-552528
395,3HSPJ041855.9+132451,,64.73275,13.41417,14.7,0.87,-12.1,,,2WHSPJ041855.8+132451
396,3HSPJ041949.4+843836,,64.95567,84.64333,3.7,0.12,-12.3,,,2WHSPJ041949.3+843835
399,3HSPJ042026.4-651400,,65.10992,-65.23333,56.9,,-11.8,,,2WHSPJ042026.2-651359
402,3HSPJ042301.2-522716,,65.75513,-52.45444,27.7,0.06,-12.5,,,2WHSPJ042302.4-522739
403,3HSPJ042308.0-315958,,65.78325,-31.99944,5.3,0.08,-12.5,,,2WHSPJ042307.9-315957
404,3HSPJ042344.9-543150,,65.93708,-54.53056,37.9,,-12.6?,,,2WHSPJ042344.2-543142
406,3HSPJ042733.4-183010,,66.88896,-18.50278,15.7,0.32,-11.8,,,2WHSPJ042733.2-183010
